rank,product_id,product_name,nb_purchases
653,37065,Serrano Chile Peppers,7912
654,22025,YoBaby Blueberry Apple Yogurt,7898
655,16145,Organic Cannellini Beans,7890
656,9808,Organic Cottage Cheese,7885
657,19816,Sonoma Traditional Flour Tortillas 10 Count,7869
658,4942,Vanilla Almond Breeze,7860
659,38650,Organic Red Lentils,7836
660,365,Cheerios Cereal,7830
661,14901,Raisins,7821
662,39040,Organic Sliced Crimini Mushrooms,7812
663,30305,Fancy Eggplant,7805
664,1700,White Cheddar Popcorn,7788
665,33548,Peach on the Bottom Nonfat Greek Yogurt,7783
666,14870,Icelandic Style Fat Free Plain Yogurt,7771
667,42460,Plain Mini Bagels,7761
668,1408,Mini Cucumbers,7752
669,32566,Dha Omega 3 Vitamin D Milk,7751
670,20580,Original Real Vegetable Chips,7746
671,16262,Everything Bagels,7723
672,16617,Organic Muenster Cheese Slices,7709
673,17429,Jalapeno Hummus,7707
674,45646,Grated Parmesan Cheese,7696
675,10504,Yukon Gold Potatoes 5lb Bag,7673
676,42495,Pink Lady (Cripps) Apple,7668
677,40910,Root Beer,7642
678,23579,Peanut Butter Chocolate Chip Fruit & Nut Food Bar,7642
679,27243,Premium Pure Cane Granulated Sugar,7640
680,44156,Strawberry on the Bottom Nonfat Greek Yogurt,7639
681,10603,93% Ground Beef,7630
682,7644,Scoops! Tortilla Chips,7625
683,31869,Organic Edamame,7595
684,12384,Organic Lactose Free 1% Lowfat Milk,7569
685,13083,Lowfat Small Curd Cottage Cheese,7562
686,48857,Authentic French Brioche,7561
687,45763,Mini Seedless Cucumbers,7559
688,46226,Thick & Crispy Tortilla Chips,7559
689,14168,Penne Pasta,7558
690,2962,"Milk, Reduced Fat, 2% Milkfat",7558
691,23622,Organic Hot House Tomato,7548
692,28278,Organic Penne Rigate,7545
693,12614,Yellow Grape Tomatoes,7535
694,24759,Club Soda,7528
695,9337,Purity Farms Ghee Clarified Butter,7522
696,31964,Passionfruit Sparkling Water,7518
697,29370,Organic White Cheddar Popcorn,7517
698,3990,Natural Sharp Cheddar Sliced Cheese,7508
699,5460,Butter,7503
700,38890,No Pulp Calcium & Vitamin D Pure Premium 100% Pure Orange Juice,7501
701,8955,Basil,7498
702,21009,"Crispy Wheat, Crackers",7494
703,26128,Organic Mango Chunks,7477
704,33716,Apple Pie Fruit & Nut Food Bar,7476
705,7131,Light Semisoft Cheese,7472
706,8479,Original Black Box Tablewater Cracker,7464
707,1090,Shells & Real Aged Cheddar Macaroni & Cheese,7460
708,31759,Cherrios Honey Nut,7452
709,39922,Celery Sticks,7393
710,17616,Goldfish Cheddar Baked Snack Crackers,7381
711,10621,Organic Purple Kale,7374
712,22504,Organic Mountain Forest Amber Honey,7358
713,3481,Pineapple,7350
714,46692,Multigrain Tortilla Chips,7340
715,24535,Plain Whole Milk Yogurt,7338
716,18880,Organic Free Range Low Sodium Chicken Broth,7336
717,28373,Original Rotisserie Chicken,7335
718,17341,Presliced Everything Bagels,7333
719,6532,Organic YoKids Very Berry Smoothies,7329
720,32455,Whole Grain Cheddar Baked Snack Crackers,7321
721,20754,Mediterranean Mint Gelato,7319
722,23765,Organic Smoked Turkey Breast,7314
723,4724,Broccoli Florettes,7311
724,16823,Organic Beef Broth,7306
725,17835,Thin & Light Tortilla Chips,7302
726,25005,Organic Green Lentils,7299
727,36389,Organic Rainbow Chard Vegetable,7292
728,30949,Organic YoKids Smoothie Strawberry Banana Lowfat Yogurt,7273
729,8230,100% Recycled Bathroom Tissue,7264
730,30442,Low Fat Vanilla Yogurt,7259
731,49610,100% Lactose Free Fat Free Milk,7226
732,26131,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,7223
733,21417,Organic Creamy Tomato Soup,7212
734,16589,Plantain Chips,7192
735,23233,California Sourdough Bread,7177
736,9124,Broccoli & Cheddar Bake Meal Bowl,7176
737,19156,Fat Free Blueberry Yogurt,7170
738,36086,Philadelphia Original Cream Cheese,7167
739,28123,Organic Cut Green Beans,7144
740,45063,Organic Baby Bella Mushrooms,7118
741,17008,Shredded Sharp Cheddar Cheese,7117
742,33572,Lactose Free 2% Reduced Fat Milk,7114
743,28535,Cucumber & Garlic  Tzatziki,7112
744,1215,Kidz All Natural Baked Chicken Nuggets,7093
745,2611,Gluten Free SpongeBob Spinach Littles,7083
746,38944,Seven Grain Crispy Tenders,7082
747,11352,Organic Mini Sandwich Crackers Peanut Butter,7069
748,29553,Super Soft Taco Flour Tortillas,7063
749,45747,Curate Melon Pomelo Sparking Water,7050
750,8087,Florida Orange Juice With Calcium & Vitamin D,7049
751,24082,Organic Dark Sweet Cherries,7040
752,31562,Sweet Onions,7024
753,6287,Organic & Raw Strawberry Serenity Kombucha,7018
754,7521,New Orleans Iced Coffee,7011
755,9741,Cheese Pizza,7010
756,19894,Enlightened Organic Raw Kombucha,7007
757,38028,White Sliced Mushrooms,7004
758,41544,Organic Crushed Fire Roasted Tomatoes,6999
759,21614,Crackers Harvest Whole Wheat,6994
760,4138,Arancita Rossa,6986
761,40593,Cream Cheese,6975
762,31805,Gourmet Tomato Medley,6961
763,14467,Sweet Baguette,6953
764,37825,Organic Whole Wheat Fusilli,6948
765,33352,Organic Kale Greens,6942
766,12606,100% Natural Spring Water,6938
767,13819,Roasted Salted Cashews,6935
768,10814,Applewood Smoked Bacon,6925
769,48171,Shredded Hash Browns,6925
770,17807,Gluten Free Blueberry Waffles,6922
771,47029,Organic Greek Nonfat Yogurt With Mixed Berries,6891
772,47601,Unsalted Cultured Butter,6890
773,10032,Cola Soft Drink,6880
774,13431,Flaky Biscuits,6877
775,35383,Classic White Bread,6872
776,18382,Saltine Crackers,6871
777,1559,Cherry Pomegranate Greek Yogurt,6858
778,42803,Organic Apple Slices,6842
779,3020,Broccoli & Apple Stage 2 Baby Food,6837
780,46061,Popcorn,6829
781,48595,Organic Wheat Square Crackers,6814
782,45570,Organic Greek Plain Nonfat Yogurt,6812
783,17630,YoKids Squeeze! Organic Strawberry Flavor Yogurt,6807
784,23341,Large Grade AA Eggs,6796
785,22888,90% Lean Ground Beef,6784
786,23801,Fusilli No. 34,6773
787,17902,Liquid Egg Whites,6763
788,9366,Penne Rigate #41 Pasta,6763
789,18434,Organic Whole Crimini Mushrooms,6757
790,18987,Hot Dog Buns,6742
791,29594,YoKids Strawberry Banana/Strawberry Yogurt,6739
792,581,Garnet Sweet Potato (Yam),6735
793,19003,Celery,6722
794,20632,Mache Rosettes French Salad Mix,6720
795,43631,Diet Coke,6720
796,24382,Ranch Dressing,6719
797,15200,Organic Green Beans,6704
798,5449,Margherita Pizza,6700
799,38656,Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars,6692
800,39121,Organic Jasmine Rice,6676
801,17878,Grilled Chicken Breast Strips,6673
802,41319,Sea Salt Caramel Gelato,6671
803,7916,Grilled Chicken Breast,6639
804,25837,Mini Babybel Light Semisoft Edam Cheeses,6638
805,39097,Gluten Free White Sandwich Bread,6607
806,19488,Select-A-Size White Paper Towels,6592
807,9421,Organic Raw Multigreen Kobmbucha,6584
808,8490,Strawberry Rhubarb Yogurt,6575
809,11461,White Corn Tortillas,6575
810,27360,Boneless Skinless Chicken Breast Fillets,6572
811,24010,Wheat Gluten Free Waffles,6562
812,6615,Mozzarella Cheese,6558
813,34551,Organic Cane Sugar,6550
814,5337,Monterey Jack Cheese,6543
815,9550,Ancient Grain Original Granola,6542
816,34,Peanut Butter Cereal,6536
817,37011,Artichokes,6536
818,46650,Special Reserve Extra Sharp Cheddar Cheese,6536
819,31371,Whole Wheat English Muffins,6527
820,41259,Poblano Pepper,6518
821,41540,Organic Whole White Mushrooms,6515
822,47866,Jalapeno Potato Chips,6515
823,7806,Soft Pretzel Burger Buns,6513
824,21497,White Sandwich Bread,6511
825,34234,Grade AA Large White Eggs,6506
826,47492,Organic Berry Blend,6500
827,46900,Organic Chicken Noodle Soup,6499
828,6347,Unsweetened Almond Milk,6486
829,44514,Yellow Straightneck Squash,6481
830,12427,Original Beef Jerky,6476
831,11136,Organic Low Sodium Chicken Cooking Stock,6475
832,33290,Lemon Verbena Dish Soap,6471
833,31338,Classic Almond Butter,6470
834,41276,Energy Drink,6461
835,14778,Organic Chocolate Chip Chewy Granola Bars,6445
836,46049,Salt & Pepper Krinkle Chips,6438
837,19478,Organic Marinara Pasta Sauce,6436
838,4149,Frozen Organic Blueberries,6423
839,46041,Beef Franks,6409
840,38274,Ice Cream Sandwiches Vanilla,6394
841,42240,Ultra Soft Facial Tissues,6394
842,14999,Grade A Large Brown Eggs,6388
843,8467,Cinnamon Raisin Bread,6384
844,22260,Organic Rolled Oats,6380
845,23296,Blueberry on the Bottom Nonfat Greek Yogurt,6374
846,248,Dried Sweetened Cranberries,6371
847,33636,Organic Shells And White Cheddar,6370
848,45013,Apple Sauce,6367
849,10761,Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes,6359
850,27307,Cage Free Grade A Large Brown Eggs,6351
851,28785,Organic Tahini,6344
852,29615,"Bread, Country Buttermilk",6337
853,2180,Angel Hair Pasta,6328
854,43643,Organic Strawana Probugs Kefir,6318
855,41593,Blue Cheese Crumbles,6315
856,44471,Free & Clear Unscented Baby Wipes,6315
857,2716,Organic Greek Lowfat Yogurt With Strawberries,6311
858,29898,Organic Spaghetti Pasta,6310
859,16290,Sparkling Clementine Juice,6301
860,9327,Garlic Powder,6299
861,49247,Coconut Yoghurt,6292
862,24390,Pomegranate,6287
863,47890,Whole White Mushrooms,6285
864,38544,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,6281
865,10473,Half And Half Cream,6281
866,35233,Peach,6274
867,14897,Sweet Potato Yam,6262
868,19049,Peeled Garlic,6259
869,3849,Organic Sprouted English Muffin,6258
870,44375,Canned Aranciata Orange,6257
871,8239,Peanut Butter Creamy With Salt,6247
872,47357,Original Restaurant Style Tortilla Chips,6243
873,44292,Premium Unsweetened Iced Tea,6242
874,13802,Salted Sweet Cream Butter,6240
875,36127,Freshly Squeezed Orange Juice,6220
876,23645,Sour Cream & Onion Potato Chips,6220
877,30480,"Tomatoes, Whole Peeled",6213
878,18599,Garlic Couscous,6204
879,4006,Hazelnut Spread With Skim Milk & Cocoa,6202
880,25133,Organic String Cheese,6196
881,20899,Goo Berry Pie Probugs Kefir,6187
882,20520,Mild Diced Green Chiles,6183
883,18564,Diet Ginger Ale All Natural Soda,6168
884,5991,Bok Choy,6165
885,49111,Original Instant Oatmeal,6162
886,45681,Americone Dream® Ice Cream,6155
887,38444,Chardonnay,6153
888,5031,Medium Salsa Roja,6141
889,49478,Frozen Organic Strawberries,6141
890,45106,Low Fat Strawberry Yogurt Tubes,6135
891,4137,Whole Grain Oat Cereal,6132
892,40002,Strawberry Ice Cream,6129
893,5618,Cauliflower,6127
894,4962,Yotoddler Organic Pear Spinach Mango Yogurt,6125
895,31663,Vanilla Blueberry Clusters With Flax Seeds Granola,6122
896,33065,Cabernet Sauvignon,6115
897,11941,"Tortillas, Corn, Organic",6100
898,18019,Macaroni & Cheese Dinner Original Flavor,6081
899,48726,Organic Nonfat Greek Yogurt With Peaches,6067
900,5959,Four Cheese Thin Crust Pizza,6066
901,8736,Synergy Organic & Raw Cosmic Cranberry,6065
902,14332,Organic Yellow Mustard,6046
903,26914,Bean & Cheese Burrito,6045
904,23044,Cream Top Smooth & Creamy Vanilla Yogurt,6045
905,26047,Tuna Salad,6044
906,13712,Cold Brew Coffee Double Espresso with Almond Milk,6027
907,40348,Large Burrito Flour Tortillas,6023
908,20583,Sourdough Baguette,6019
909,44310,Soft Pretzel Mini Buns,6005
910,25544,Fresh Cut Golden Sweet Whole Kernel Corn,6002
911,33846,Roasted Garlic Hummus,5979
912,47087,Total 0% Blueberry Acai Greek Yogurt,5976
913,25705,Butterhead Lettuce,5943
914,47526,Goat Cheese Log,5942
915,12312,Lavender Hand Soap,5941
916,22802,Mineral Water,5936
917,7054,Low Fat Plain Yogurt,5934
918,22151,Tart Cherry Yoghurt,5934
919,1695,Major Dickason's Blend Ground Coffee Dark Roast,5930
920,46175,Half Baked® Ice Cream,5928
921,48057,"Hummus, Hope, Original Recipe",5925
922,13852,Organic Broccoli Crown,5902
923,23554,Organic Vanilla Bean Ice Cream,5892
924,17027,Avocado Roll,5885
925,28597,Organic Stoneground Wheat Crackers,5880
926,32650,White Giant Paper Towel Rolls,5878
927,35336,Naked Green Machine Boosted Juice Smoothie,5874
928,49605,Classic Hummus Family Size,5873
929,16283,Fresh Asparagus,5869
930,35168,Ezekiel 4:9 Sprouted Grain Tortillas,5868
931,31927,Four Cheese Pasta Sauce,5866
932,28851,Cage Free  100% Liquid Egg Whites,5860
933,26882,Russet Potatoes,5853
934,45064,Honey Wheat Bread,5845
935,46088,Beer,5844
936,28986,Mild Italian Chicken Sausage,5813
937,10369,Organic Genoa Salami,5797
938,43867,100% Grated Parmesan Cheese,5795
939,41757,Organic Air Chilled Whole Chicken,5784
940,41273,Broccoli Florets,5778
941,5250,Blueberry Muffin Bar,5751
942,47877,Coke Zero,5746
943,24850,Organic Super Fruit Punch Juice Drink,5743
944,16249,Lacinato Kale Og,5740
945,27683,Black Beans No Salt Added,5740
946,19068,Boneless And Skinless Chicken Breast,5735
947,7952,Chicken & Apple Breakfast Sausage,5730
948,38312,Almond Milk Strawberry Yogurt,5719
949,46346,Sweet Potato Fries with Sea Salt,5712
950,3999,Bosc Pear,5711
951,9623,Sparkling Natural Spring Water,5709
952,45866,Fig Newmans Fruit Filled Cookies,5709
953,46206,Red Grapefruit,5708
954,32740,Cold-Brew Black Coffee,5701
955,49215,Kids Sensible Foods Broccoli Littles,5700
956,13113,Organic Apple Juice Boxes,5698
957,46990,Ground Buffalo,5691
958,34024,Classic Soda,5687
959,4796,Baby Portabella Mushrooms,5671
960,25197,Iced Oatmeal Cookie Kid Z Bar,5641
961,31640,Original Puffins Cereal,5636
962,11123,Vitamin Water Zero Squeezed Lemonade,5635
963,12254,Organic Cherries,5629
964,37464,Apple Cinnamon Instant Oatmeal,5615
965,13702,Good Seed Organic Thin Sliced Bread,5608
966,9018,All Natural Virgin Lemonade,5590
967,5491,Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,5581
968,18352,Flax Plus Organic Pumpkin Flax Granola,5575
969,20919,Baby Spinach Salad,5571
970,26648,Ataulfo Mango,5569
971,21162,Organic Mixed Berry Yogurt & Fruit Snack,5563
972,43409,Frosted Mini-Wheats Original Cereal,5560
973,26629,Cherry Pie Fruit & Nut Bar,5541
974,44643,Gallon Freezer Bags,5537
975,26172,Light Sour Cream,5528
976,10326,Organic Fuji Apples,5526
977,40229,Organic Whole Wheat Penne Rigate,5519
978,32578,Organic Fresh Squeezed Orange Juice,5518
979,12545,French Vanilla Coconut Milk Creamer,5517
980,13885,Caramel Cookie Crunch Gelato,5517
981,1468,Organic Peeled & Cooked Beets,5512
982,39216,Original Multigrain Spoonfuls Cereal,5509
983,9598,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,5508
984,25256,Cultured Low Fat Buttermilk,5504
985,10106,Honey & Maple Turkey Breast,5504
986,2361,Mint Chip,5502
987,22556,All Natural Apricot Sparkling Water,5497
988,18670,Original Enriched Rice Drink,5497
989,2480,Organic 85% Cacao Dark Chocolate Bar,5488
990,12797,Organic Whole Peeled Tomatoes,5488
991,4945,Large Pineapple Chunks,5485
992,13966,Chicken Pot Pie,5484
993,7746,Oregano,5482
994,35199,100% Apple Juice,5481
995,45190,Vodka,5475
996,18023,Organic Coconut Water,5474
997,20378,Chicken Broth,5468
998,43014,Sliced Baby Bella Mushrooms,5453
999,3339,Organic Russet Potato Bag,5448
1000,27020,Mandarins Bag,5445
